district,rooms,size,level,max_levels,price
Чиланзарский,1,30.0,4,4,24000.0
Учтепинский,1,52.0,1,4,58000.0
Чиланзарский,4,72.0,4,4,55500.0
Чиланзарский,4,76.0,2,4,68000.0
Учтепинский,2,48.0,4,4,31000.0
Чиланзарский,2,66.0,3,9,47000.0
Чиланзарский,3,60.0,3,5,47000.0
Чиланзарский,2,37.0,1,4,41000.0
Мирзо-Улугбекский,1,40.0,3,4,24000.0
Юнусабадский,2,61.0,1,4,55000.0
Чиланзарский,1,32.0,2,4,28500.0
Чиланзарский,3,65.0,4,4,42000.0
Учтепинский,3,66.0,2,5,67000.0
Чиланзарский,3,70.0,4,4,46500.0
Чиланзарский,3,66.0,4,4,50500.0
Учтепинский,3,65.0,1,4,40000.0
Яшнободский,1,37.0,5,8,13071.0
Мирзо-Улугбекский,2,69.65,4,9,45188.0
Учтепинский,4,88.0,4,5,53000.0
Яккасарайский,1,38.0,2,5,25600.0
Мирабадский,2,61.0,6,9,52000.0
Мирзо-Улугбекский,2,45.0,3,7,44000.0
Сергелийский,3,69.0,2,9,40000.0
Мирзо-Улугбекский,2,55.13,5,9,35226.0
Чиланзарский,3,67.0,4,4,54000.0
Шайхантахурский,1,38.0,5,5,22500.0
Мирзо-Улугбекский,2,67.0,2,4,36500.0
Яккасарайский,2,54.0,4,9,40000.0
Чиланзарский,2,58.0,1,9,35000.0
Мирабадский,4,100.0,5,8,142000.0
Чиланзарский,4,90.0,4,5,52000.0
Олмазорский,3,91.0,3,3,85000.0
Шайхантахурский,4,111.0,7,8,110000.0
Сергелийский,2,54.0,6,7,36000.0
Яшнободский,3,69.0,5,5,52000.0
Юнусабадский,5,107.0,5,5,50000.0
Мирзо-Улугбекский,3,80.0,2,5,55000.0
Юнусабадский,2,63.0,5,9,42000.0
Мирабадский,3,74.0,5,16,69000.0
Яшнободский,2,58.0,5,5,28900.0
Мирзо-Улугбекский,2,62.0,9,9,34000.0
Мирзо-Улугбекский,3,107.0,2,8,85000.0
Олмазорский,1,40.41,2,4,25000.0
Чиланзарский,2,54.0,2,4,39000.0
Мирзо-Улугбекский,1,40.0,1,4,60000.0
Мирзо-Улугбекский,2,50.0,1,5,36500.0
Яшнободский,3,75.0,5,9,42000.0
Мирзо-Улугбекский,3,84.0,7,8,85000.0
Мирзо-Улугбекский,3,117.0,2,5,125000.0
Мирзо-Улугбекский,3,70.0,5,5,37000.0
Мирзо-Улугбекский,1,47.0,2,9,42000.0
Чиланзарский,2,56.0,2,5,36000.0
Чиланзарский,1,42.0,3,9,28000.0
Чиланзарский,2,60.0,5,9,34000.0
Чиланзарский,1,32.0,2,5,28500.0
Чиланзарский,1,42.0,2,5,28500.0
Чиланзарский,2,60.0,2,9,34500.0
Чиланзарский,2,54.0,1,4,34500.0
Чиланзарский,1,42.0,1,5,25500.0
Чиланзарский,2,60.0,2,9,43500.0
Мирабадский,2,72.0,7,9,63000.0
Яшнободский,3,80.0,1,4,39999.0
Чиланзарский,1,33.0,2,4,24500.0
Юнусабадский,2,61.0,3,5,41000.0
Мирзо-Улугбекский,4,187.0,2,5,210000.0
Мирзо-Улугбекский,2,63.0,5,5,36000.0
Олмазорский,2,60.0,5,5,34000.0
Чиланзарский,1,29.0,2,4,23000.0
Мирзо-Улугбекский,2,63.0,5,5,36000.0
Учтепинский,2,48.0,4,5,28500.0
Мирзо-Улугбекский,1,11.0,3,9,7500.0
Чиланзарский,2,45.0,4,4,47000.0
Олмазорский,4,122.0,5,5,95000.0
Юнусабадский,1,42.0,2,4,44000.0
Мирзо-Улугбекский,2,50.0,1,4,45000.0
Мирзо-Улугбекский,5,100.0,4,4,48000.0
Мирзо-Улугбекский,2,60.0,4,4,32000.0
Яккасарайский,2,50.0,2,4,47000.0
Мирзо-Улугбекский,3,78.0,5,9,70500.0
Яккасарайский,4,164.0,5,6,170000.0
Мирзо-Улугбекский,2,60.0,3,5,30500.0
Чиланзарский,1,42.0,2,4,26000.0
Чиланзарский,3,70.0,4,4,37500.0
Чиланзарский,1,35.0,1,5,26500.0
Чиланзарский,2,47.0,2,4,32000.0
Чиланзарский,1,36.0,2,5,26500.0
Чиланзарский,2,50.0,2,5,34500.0
Чиланзарский,2,52.0,2,4,36500.0
Яшнободский,2,46.0,2,4,24500.0
Чиланзарский,3,92.0,3,9,42500.0
Чиланзарский,3,70.0,1,4,46000.0
Юнусабадский,3,70.0,2,4,38500.0
Мирзо-Улугбекский,2,60.0,7,8,36000.0
Мирзо-Улугбекский,2,55.0,3,5,35000.0
Мирзо-Улугбекский,2,63.0,4,9,55500.0
Яккасарайский,2,89.0,4,12,81772.0
Яккасарайский,1,55.0,1,12,50533.0
Мирзо-Улугбекский,3,100.0,2,6,119000.0
Мирзо-Улугбекский,4,208.0,2,3,93000.0
Чиланзарский,1,35.0,1,4,23800.0
Чиланзарский,2,44.0,3,4,32900.0
Янгихаётский,2,61.0,3,7,36000.0
Яшнободский,4,100.0,2,9,65000.0
Чиланзарский,1,35.0,1,4,29800.0
Мирзо-Улугбекский,4,86.0,3,5,63000.0
Мирзо-Улугбекский,3,100.0,1,5,80000.0
Олмазорский,5,110.0,5,5,63500.0
Мирабадский,3,75.0,6,9,110000.0
Олмазорский,3,70.0,1,5,62000.0
Шайхантахурский,3,70.0,4,5,36999.0
Яккасарайский,3,150.0,3,6,170000.0
Сергелийский,2,56.1,7,7,37000.0
Юнусабадский,4,83.0,3,5,54000.0
Учтепинский,2,49.0,4,4,23000.0
Чиланзарский,2,46.0,2,4,38500.0
Чиланзарский,2,46.0,4,4,36200.0
Чиланзарский,3,68.0,4,4,45000.0
Чиланзарский,3,65.0,1,5,45000.0
Чиланзарский,4,76.0,4,4,43000.0
Чиланзарский,1,42.0,2,5,26000.0
Чиланзарский,2,55.0,1,4,67000.0
Чиланзарский,4,76.0,5,5,45500.0
Чиланзарский,2,49.0,2,6,47000.0
Чиланзарский,4,80.0,2,4,70000.0
Чиланзарский,5,142.0,5,5,120000.0
Чиланзарский,3,60.0,3,4,44000.0
Мирзо-Улугбекский,3,72.0,4,5,47000.0
Мирабадский,4,115.0,6,9,84000.0
Яшнободский,4,100.0,2,3,77000.0
Мирзо-Улугбекский,2,63.0,5,5,35000.0
Мирзо-Улугбекский,3,66.0,3,5,56000.0
Мирзо-Улугбекский,3,70.0,5,5,46500.0
Мирзо-Улугбекский,3,62.0,5,5,35000.0
Чиланзарский,2,50.0,1,4,34000.0
Юнусабадский,3,78.0,4,4,56000.0
Мирабадский,2,62.0,2,9,63000.0
Яшнободский,3,63.0,4,4,40000.0
Мирзо-Улугбекский,4,91.0,1,5,75000.0
Шайхантахурский,3,81.0,6,9,54900.0
Мирзо-Улугбекский,4,86.0,3,4,42000.0
Мирзо-Улугбекский,2,54.0,3,5,54500.0
Мирабадский,3,90.0,3,5,105000.0
Мирзо-Улугбекский,2,40.0,2,5,37000.0
Юнусабадский,1,45.0,5,5,24000.0
Олмазорский,3,89.55,7,9,40000.0
Мирзо-Улугбекский,4,92.0,3,5,67000.0
Яккасарайский,3,100.0,3,4,1000.0
Мирзо-Улугбекский,4,95.0,1,4,77000.0
Мирзо-Улугбекский,4,102.0,4,9,65000.0
Олмазорский,2,65.0,5,9,31300.0
Мирзо-Улугбекский,2,62.0,5,5,33500.0
Олмазорский,2,56.0,3,5,38500.0
Мирзо-Улугбекский,2,59.0,2,8,41500.0
Чиланзарский,3,96.0,6,9,64500.0
Яшнободский,1,37.0,4,8,13075.0
Яккасарайский,2,70.0,8,9,48000.0
Мирабадский,2,78.0,4,8,77000.0
Яккасарайский,4,145.0,7,8,115000.0
Мирзо-Улугбекский,3,100.0,2,5,128000.0
Яшнободский,2,54.0,4,4,33000.0
Мирабадский,3,70.0,2,4,66000.0
Яккасарайский,5,116.0,3,5,80000.0
Чиланзарский,3,72.0,8,9,37700.0
Шайхантахурский,1,70.0,6,7,60000.0
Мирзо-Улугбекский,2,60.0,9,9,28500.0
Чиланзарский,2,52.0,4,5,38000.0
Яккасарайский,3,95.0,7,8,65000.0
Чиланзарский,2,44.0,1,4,38000.0
Чиланзарский,2,42.0,3,4,36500.0
Чиланзарский,2,43.0,2,4,36500.0
Чиланзарский,3,77.0,5,5,95000.0
Чиланзарский,1,24.0,3,4,20000.0
Чиланзарский,1,30.0,1,4,26000.0
Чиланзарский,2,41.0,1,4,36000.0
Юнусабадский,2,46.0,2,4,36000.0
Чиланзарский,2,42.0,2,4,36500.0
Юнусабадский,2,51.0,3,4,45000.0
Учтепинский,3,62.0,5,5,33500.0
Яшнободский,1,50.0,5,12,25000.0
Юнусабадский,4,107.0,6,9,75500.0
Олмазорский,1,38.0,6,9,27500.0
Яккасарайский,4,110.0,7,9,75000.0
Олмазорский,2,55.62,5,9,31000.0
Сергелийский,2,66.0,8,9,31507.0
Яккасарайский,2,53.0,3,5,54000.0
Олмазорский,4,119.0,2,5,110000.0
Мирзо-Улугбекский,2,56.0,1,4,35000.0
Мирзо-Улугбекский,3,68.0,4,4,24000.0
Мирабадский,3,125.0,7,12,129999.0
Яккасарайский,4,140.0,8,10,105000.0
Яккасарайский,4,141.0,7,7,95000.0
Учтепинский,4,74.0,4,4,47500.0
Мирзо-Улугбекский,2,63.0,5,5,34997.0
Учтепинский,2,41.0,4,4,32000.0
Мирабадский,2,52.0,3,5,37000.0
Чиланзарский,3,68.0,3,4,39000.0
Мирабадский,4,110.0,1,4,63500.0
Мирзо-Улугбекский,2,60.0,6,9,35500.0
Чиланзарский,1,54.0,9,9,35000.0
Мирзо-Улугбекский,2,60.0,5,5,35000.0
Чиланзарский,2,46.0,3,4,37500.0
Чиланзарский,4,94.0,4,5,73000.0
Чиланзарский,2,58.0,1,9,40000.0
Мирзо-Улугбекский,4,92.0,3,5,62000.0
Чиланзарский,3,70.0,3,4,55000.0
Чиланзарский,2,42.0,4,4,37400.0
Чиланзарский,2,42.0,4,4,35800.0
Чиланзарский,2,75.0,4,12,60000.0
Юнусабадский,3,72.0,1,9,100000.0
Учтепинский,3,85.0,7,9,52500.0
Юнусабадский,2,65.0,5,9,44000.0
Чиланзарский,2,65.0,9,9,56600.0
Чиланзарский,2,46.0,3,4,42000.0
Мирзо-Улугбекский,2,60.94,9,9,36542.0
Яшнободский,2,59.0,4,4,26500.0
Мирзо-Улугбекский,2,66.82,5,7,65000.0
Чиланзарский,5,98.0,5,9,70000.0
Мирзо-Улугбекский,2,48.0,1,4,34499.0
Учтепинский,3,92.0,8,9,46000.0
Мирабадский,4,128.0,1,7,87000.0
Мирабадский,2,56.0,2,5,37500.0
Яшнободский,1,45.0,1,5,36500.0
Чиланзарский,3,70.0,2,4,48000.0
Учтепинский,2,56.0,2,5,37500.0
Мирзо-Улугбекский,4,95.0,1,5,78000.0
Мирабадский,2,100.0,8,9,150000.0
Мирзо-Улугбекский,4,97.0,5,5,80000.0
Мирзо-Улугбекский,4,130.0,4,9,98500.0
Юнусабадский,3,67.0,4,4,42000.0
Мирзо-Улугбекский,4,95.0,5,5,50000.0
Юнусабадский,2,62.0,4,9,55000.0
Яккасарайский,3,75.0,10,16,70000.0
Яккасарайский,3,70.0,6,6,81999.0
Яшнободский,2,59.0,2,7,22534.0
Юнусабадский,2,55.0,1,9,43000.0
Юнусабадский,2,59.0,5,5,37000.0
Чиланзарский,2,44.0,4,4,29500.0
Шайхантахурский,2,30.0,3,3,38500.0
Яккасарайский,2,56.0,2,5,38000.0
Учтепинский,3,60.0,4,4,40000.0
Мирабадский,2,70.0,3,4,83000.0
Мирзо-Улугбекский,2,64.0,4,5,34500.0
Чиланзарский,3,100.0,1,12,57000.0
Чиланзарский,3,68.0,2,4,50000.0
Юнусабадский,4,115.0,3,9,64000.0
Мирзо-Улугбекский,2,60.0,4,4,34000.0
Мирзо-Улугбекский,5,100.0,4,4,48000.0
Мирзо-Улугбекский,2,50.0,2,4,32500.0
Мирабадский,3,105.0,7,9,125000.0
Мирзо-Улугбекский,2,70.0,4,7,87000.0
Мирзо-Улугбекский,5,137.0,3,7,105000.0
Яшнободский,1,36.0,4,9,26000.0
Яккасарайский,2,52.0,1,3,55000.0
Янгихаётский,2,47.14,4,4,28000.0
Чиланзарский,3,65.0,1,5,45000.0
Мирзо-Улугбекский,4,130.0,6,9,115000.0
Мирзо-Улугбекский,4,110.0,4,6,125000.0
Яккасарайский,2,61.0,2,9,53000.0
Мирабадский,2,40.0,1,1,23500.0
Яккасарайский,3,75.0,7,9,62000.0
Чиланзарский,2,54.0,4,4,37500.0
Юнусабадский,2,64.0,3,4,54962.0
Чиланзарский,1,30.0,3,4,31000.0
Чиланзарский,3,68.0,4,4,46500.0
Юнусабадский,2,50.0,1,4,38000.0
Мирабадский,2,44.0,6,9,60000.0
Мирзо-Улугбекский,1,35.0,2,2,20600.0
Яккасарайский,3,70.0,4,5,68500.0
Мирзо-Улугбекский,1,46.0,1,5,33000.0
Мирзо-Улугбекский,3,71.0,4,4,40200.0
Чиланзарский,1,50.0,5,5,21500.0
Яккасарайский,1,43.0,6,16,34000.0
Юнусабадский,2,60.0,9,9,32000.0
Юнусабадский,2,60.0,1,4,31999.0
Юнусабадский,2,57.0,4,4,32000.0
Юнусабадский,3,75.0,4,9,80000.0
Юнусабадский,2,62.0,4,4,33000.0
Яккасарайский,2,43.0,6,16,34000.0
Чиланзарский,2,48.0,1,4,34000.0
Юнусабадский,3,70.0,1,9,68000.0
Юнусабадский,2,54.0,2,4,33000.0
Юнусабадский,2,50.0,4,4,33500.0
Юнусабадский,2,50.0,2,4,33500.0
Чиланзарский,2,60.0,2,9,36000.0
Чиланзарский,2,60.0,1,9,41500.0
Чиланзарский,2,68.0,1,4,41000.0
Чиланзарский,2,50.0,1,5,34500.0
Чиланзарский,2,50.0,4,4,32500.0
Чиланзарский,2,60.0,4,5,38000.0
Юнусабадский,4,122.0,8,9,134000.0
Яккасарайский,3,88.0,5,5,45500.0
Яккасарайский,4,118.0,8,12,102711.0
Юнусабадский,2,55.0,1,3,42500.0
Юнусабадский,2,60.0,4,4,34000.0
Яккасарайский,2,47.0,4,4,47500.0
Юнусабадский,2,78.0,1,9,34000.0
Яккасарайский,2,62.0,8,9,42000.0
Юнусабадский,2,50.0,4,4,34000.0
Юнусабадский,2,60.0,4,4,34000.0
Юнусабадский,2,60.0,3,4,34500.0
Юнусабадский,2,78.0,1,9,33998.0
Юнусабадский,2,50.0,4,4,34000.0
Юнусабадский,2,60.0,4,4,34000.0
Яшнободский,3,75.0,5,9,64700.0
Юнусабадский,4,82.0,1,4,85500.0
Чиланзарский,1,36.0,1,5,25500.0
Чиланзарский,1,36.0,2,5,28500.0
Чиланзарский,1,42.0,4,4,28000.0
Чиланзарский,1,46.0,2,5,31500.0
Чиланзарский,2,50.0,1,5,36000.0
Яккасарайский,3,75.0,5,9,55000.0
Чиланзарский,3,75.0,9,9,60000.0
Юнусабадский,2,64.0,5,9,37000.0
Яккасарайский,2,60.0,4,9,47000.0
Юнусабадский,4,90.0,4,4,53000.0
Мирзо-Улугбекский,4,86.0,3,5,50000.0
Мирзо-Улугбекский,3,72.0,1,4,46000.0
Учтепинский,5,105.0,7,9,85000.0
Яккасарайский,1,34.0,2,4,29000.0
Мирзо-Улугбекский,1,28.0,1,4,21500.0
Чиланзарский,2,47.0,4,4,35500.0
Чиланзарский,2,42.0,1,4,39600.0
Чиланзарский,3,110.0,2,8,160000.0
Мирабадский,1,40.0,2,9,42000.0
Чиланзарский,2,50.0,4,4,40500.0
Чиланзарский,1,29.0,4,4,24500.0
Чиланзарский,2,42.0,4,4,34000.0
Чиланзарский,2,42.0,3,4,36999.0
Чиланзарский,3,65.0,4,5,30000.0
Юнусабадский,3,65.0,3,5,45000.0
Чиланзарский,2,45.0,3,5,26000.0
Мирзо-Улугбекский,4,90.0,3,4,133000.0
Мирзо-Улугбекский,4,86.0,4,5,60000.0
Мирзо-Улугбекский,2,40.0,4,4,34000.0
Чиланзарский,1,35.0,2,4,20000.0
Олмазорский,5,100.0,1,4,71000.0
Яккасарайский,2,78.0,4,8,100000.0
Яккасарайский,1,20.0,2,4,14500.0
Олмазорский,2,40.0,3,4,27500.0
Шайхантахурский,3,75.0,2,4,55000.0
Мирабадский,3,90.0,7,9,92000.0
Мирзо-Улугбекский,2,137.0,2,6,125000.0
Мирабадский,4,152.0,4,9,140000.0
Мирабадский,3,90.0,3,5,105000.0
Яккасарайский,2,55.0,3,4,41000.0
Мирзо-Улугбекский,3,90.0,2,9,51000.0
Чиланзарский,2,48.0,3,4,43000.0
Мирзо-Улугбекский,3,78.0,5,5,39000.0
Яккасарайский,1,38.0,2,5,25600.0
Чиланзарский,3,70.0,3,5,68000.0
Мирзо-Улугбекский,2,50.0,1,4,30000.0
Чиланзарский,2,55.0,4,4,39000.0
Чиланзарский,4,90.0,5,9,50000.0
Чиланзарский,1,37.0,1,4,25500.0
Мирзо-Улугбекский,3,80.0,3,4,120000.0
Чиланзарский,4,105.0,7,9,95000.0
Учтепинский,1,45.0,5,9,27000.0
Чиланзарский,2,42.0,1,4,36800.0
Мирзо-Улугбекский,2,40.0,1,3,26000.0
Чиланзарский,1,29.0,2,4,24200.0
Учтепинский,3,72.0,5,5,45000.0
Мирзо-Улугбекский,2,40.0,5,5,31500.0
Юнусабадский,3,78.0,4,4,55000.0
Чиланзарский,3,70.0,4,5,32000.0
Чиланзарский,3,74.0,5,9,74000.0
Чиланзарский,2,55.0,3,4,26000.0
Мирзо-Улугбекский,2,60.0,6,9,34000.0
Яккасарайский,1,33.0,2,4,22000.0
Мирзо-Улугбекский,2,60.0,1,5,46000.0
Мирзо-Улугбекский,2,58.0,2,9,42000.0
Чиланзарский,3,68.0,2,4,61000.0
Чиланзарский,3,67.0,2,4,47000.0
Мирзо-Улугбекский,2,77.0,4,4,65000.0
Олмазорский,2,50.0,2,4,30000.0
Янгихаётский,2,57.0,3,7,35000.0
Мирзо-Улугбекский,3,70.0,4,4,44998.0
Юнусабадский,2,60.0,7,9,35000.0
Юнусабадский,2,57.0,4,9,36000.0
Юнусабадский,2,57.0,4,9,35999.0
Юнусабадский,2,58.0,2,5,36500.0
Юнусабадский,2,68.0,9,9,36500.0
Мирзо-Улугбекский,3,70.0,5,5,47000.0
Мирзо-Улугбекский,3,97.0,9,9,55290.0
Мирзо-Улугбекский,2,67.0,9,9,38190.0
Мирзо-Улугбекский,2,56.0,3,5,32000.0
Учтепинский,2,42.0,4,5,28500.0
Мирзо-Улугбекский,2,60.0,8,9,40000.0
Яккасарайский,2,86.0,6,8,75000.0
Чиланзарский,1,30.0,2,4,20200.0
Чиланзарский,2,51.0,2,4,23200.0
Шайхантахурский,3,90.0,4,9,105000.0
Учтепинский,1,30.0,2,4,20200.0
Чиланзарский,2,51.0,3,5,24200.0
Чиланзарский,3,64.0,2,5,35200.0
Чиланзарский,2,51.0,2,4,25200.0
Чиланзарский,1,30.0,2,4,22200.0
Чиланзарский,2,51.0,3,4,26200.0
Юнусабадский,2,50.0,3,4,36500.0
Яшнободский,2,66.0,1,5,28000.0
Юнусабадский,2,56.0,4,4,37000.0
Юнусабадский,2,57.0,3,9,37000.0
Яшнободский,1,40.0,5,8,13700.0
Юнусабадский,2,71.0,4,5,38000.0
Юнусабадский,2,58.0,3,5,38000.0
Олмазорский,4,125.0,1,3,80000.0
Мирабадский,2,40.0,1,1,22500.0
Яккасарайский,2,60.0,4,4,45500.0
Мирзо-Улугбекский,4,92.0,4,5,52000.0
Юнусабадский,2,54.0,1,4,38500.0
Мирзо-Улугбекский,4,91.0,3,5,50000.0
Яшнободский,1,21.0,3,4,14700.0
Учтепинский,3,72.0,1,9,44300.0
Юнусабадский,2,48.0,3,4,38999.0
Шайхантахурский,3,104.0,3,9,60000.0
Яшнободский,2,65.0,6,9,53000.0
Яшнободский,2,65.0,5,5,64999.0
Мирзо-Улугбекский,2,62.0,5,5,36500.0
Мирзо-Улугбекский,2,50.0,5,5,35000.0
Олмазорский,4,86.0,5,5,55000.0
Юнусабадский,2,50.0,4,4,33500.0
Мирзо-Улугбекский,2,56.0,2,4,37000.0
Мирзо-Улугбекский,2,60.0,2,5,38200.0
Чиланзарский,3,84.0,2,5,46000.0
Мирзо-Улугбекский,2,62.0,4,4,38500.0
Юнусабадский,2,56.0,4,5,39000.0
Янгихаётский,4,96.0,9,9,34500.0
Юнусабадский,2,63.0,2,5,39999.0
Учтепинский,5,109.0,7,9,65000.0
Мирзо-Улугбекский,3,100.0,2,5,128000.0
Юнусабадский,2,49.0,1,4,40000.0
Учтепинский,2,47.0,4,4,30500.0
Мирабадский,3,90.0,6,9,87000.0
Яккасарайский,4,95.0,4,4,79500.0
Чиланзарский,4,100.0,7,9,65000.0
Юнусабадский,2,50.0,1,4,41000.0
Учтепинский,3,80.0,3,5,60000.0
Юнусабадский,3,82.0,4,4,42000.0
Учтепинский,2,52.0,5,5,30000.0
Яккасарайский,2,55.0,2,4,65000.0
Учтепинский,4,80.0,5,5,62000.0
Чиланзарский,3,57.0,1,4,44000.0
Чиланзарский,2,50.0,6,8,38999.0
Учтепинский,2,59.0,9,9,27000.0
Яшнободский,2,60.0,1,6,30000.0
Мирзо-Улугбекский,5,140.0,3,8,98000.0
Мирабадский,4,164.0,3,7,120000.0
Мирзо-Улугбекский,5,135.0,1,9,82000.0
Шайхантахурский,3,75.0,8,9,49000.0
Мирзо-Улугбекский,3,70.0,4,5,45000.0
Чиланзарский,3,70.0,5,5,41000.0
Мирабадский,2,52.0,2,4,50000.0
Мирзо-Улугбекский,2,50.0,4,4,28700.0
Чиланзарский,3,72.0,6,9,54000.0
Мирзо-Улугбекский,2,60.0,6,6,34000.0
Юнусабадский,2,60.0,3,4,41500.0
Юнусабадский,2,60.0,3,4,41500.0
Чиланзарский,3,73.0,4,12,60000.0
Мирабадский,2,65.0,4,9,80000.0
Яккасарайский,3,80.0,2,10,124999.0
Мирабадский,3,120.0,2,7,164500.0
Олмазорский,3,75.0,4,9,62000.0
Мирзо-Улугбекский,2,60.0,4,4,34000.0
